open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,23119.50,23852.40,22747.00,23730.00,571429.711,1675295999999,13276728610.62969,3732189,287213.190,6675085949.25407,0
1675296000000,23730.10,24281.40,23365.00,23493.10,615740.338,1675382399999,14672020690.57870,4136628,304399.567,7255687181.68452,0
1675382400000,23493.00,23719.90,23201.00,23424.70,470831.438,1675468799999,11047679446.95720,3231984,232037.850,5445353439.87534,0
1675468800000,23424.70,23591.40,23250.00,23322.60,197118.393,1675555199999,4613381157.56320,1515159,97925.022,2292235317.28000,0
1675555200000,23322.60,23436.00,22741.00,22929.20,356665.034,1675641599999,8235110913.12042,2413892,168478.328,3890523800.89990,0
1675641600000,22929.30,23159.40,22600.00,22757.70,417160.143,1675727999999,9551236526.98696,2671329,205648.867,4709593003.06291,0
1675728000000,22757.80,23368.60,22742.40,23234.10,447273.494,1675814399999,10297159070.89130,2811376,227838.755,5246060241.38648,0
1675814400000,23234.10,23450.00,22662.90,22955.90,383465.481,1675900799999,8824616946.18832,2432733,188193.359,4331860417.27920,0
1675900800000,22955.90,23007.80,21684.70,21793.40,732295.350,1675987199999,16381601662.80056,4168493,352383.973,7884131203.56675,0
1675987200000,21793.30,21933.80,21405.00,21618.60,439986.497,1676073599999,9560010537.24584,2754970,218401.918,4746056750.47950,0
1676073600000,21618.60,21891.90,21594.40,21851.30,189249.667,1676159999999,4107550899.47300,1293121,97140.493,2108626609.71500,0
1676160000000,21851.20,22080.90,21618.00,21771.10,276787.093,1676246399999,6050172252.91270,1829939,137801.412,3012674101.98673,0
1676246400000,21771.00,21888.00,21338.00,21766.20,511595.693,1676332799999,11064385171.50844,3063623,254937.184,5514335125.55216,0
1676332800000,21766.10,22320.00,21485.20,22187.40,598791.509,1676419199999,13138446771.27616,3582749,301714.763,6620555834.92226,0
1676419200000,22187.40,24420.00,22038.50,24332.60,824676.471,1676505599999,19105717014.29069,4773998,438095.939,10150489392.24219,0
1676505600000,24332.70,25290.00,23518.00,23526.60,959463.159,1676591999999,23594991207.78344,6066350,476025.725,11713610216.77922,0
1676592000000,23526.60,25043.20,23350.00,24581.50,922717.148,1676678399999,22269729549.78749,5941536,466655.784,11265293279.35803,0
1676678400000,24581.30,24887.50,24430.60,24636.90,261555.556,1676764799999,6441713215.92101,2200570,130552.462,3215740824.08061,0
1676764800000,24636.80,25200.00,24179.40,24265.90,543506.628,1676851199999,13409130913.30667,3533276,263715.507,6508964121.49515,0
1676851200000,24265.90,25140.00,23827.00,24849.90,646401.072,1676937599999,15954258831.26220,4489943,325756.247,8042075424.60315,0
1676937600000,24849.90,25347.60,24150.00,24443.40,729290.575,1677023999999,17996162952.26349,4820541,357778.843,8833009456.17446,0
1677024000000,24443.30,24468.50,23572.00,24171.30,730414.101,1677110399999,17500937832.07492,5090139,352155.899,8438976506.53682,0
1677110400000,24171.30,24588.00,23590.00,23928.80,751339.414,1677196799999,18066676937.66089,5244513,369788.469,8893367081.65688,0
1677196800000,23928.70,24138.60,22800.00,23175.60,731577.942,1677283199999,17176351552.41237,4944260,350601.005,8234014172.71578,0
1677283200000,23175.50,23210.50,22700.00,23146.20,310795.648,1677369599999,7149097149.93959,2424080,151634.042,3488785432.40751,0
1677369600000,23146.20,23675.00,23050.00,23545.30,371395.056,1677455999999,8663022665.24848,2819306,189099.315,4411672661.35098,0
1677456000000,23545.20,23888.00,23088.00,23480.00,576754.966,1677542399999,13533218116.93548,4171455,286691.878,6728538499.90897,0
1677542400000,23480.00,23592.80,23010.00,23129.60,456919.838,1677628799999,10669916658.50471,3350674,221073.577,5163282472.25300,0
